prenom , date , fete_principale , rare

// Liste des fête du jour ne correpondant pas à des prénoms

"Jour de l\'An" ; 					01/01 ; 1 ; 0 ; 0
"François de Sales" ; 				24/01 ; 1 ; 0 ; 0
"Conv. de St Paul" ; 				25/01 ; 1 ; 0 ; 0
"Thomas d\'Aquin" ; 				28/01 ; 1 ; 0 ; 0
"Présentation" ; 					02/02 ; 1 ; 0 ; 0
"N. D. de Lourdes" ; 				11/02 ; 1 ; 0 ; 0
"Charles le Bon" ; 					02/03 ; 1 ; 0 ; 0
"Jean de Dieu" ; 					08/03 ; 1 ; 0 ; 0
"PRINTEMPS" ; 						20/03 ; 1 ; 0 ; 0
"Catherine de Suè." ; 				24/03 ; 1 ; 0 ; 0
"J.-B. de la Salle." ; 				07/04 ; 1 ; 0 ; 0
"Benoît-Joseph" ; 					16/04 ; 1 ; 0 ; 0
"Jour du Souv." ; 					28/04 ; 1 ; 0 ; 0
"Catherine de Si." ; 				29/04 ; 1 ; 0 ; 0
"Fête du travail" ; 				01/05 ; 1 ; 0 ; 0
"Armistice 1945" ; 					08/05 ; 1 ; 0 ; 0
"Jeanne d\'Arc" ; 					12/05 ; 1 ; 0 ; 0
"Visitation de la Ste V." ; 		31/05 ; 1 ; 0 ; 0
"Antoine de P." ; 					13/06 ; 1 ; 0 ; 0
"J.-F. Régis" ; 					16/06 ; 1 ; 0 ; 0
"ÉTÉ" ; 							21/06 ; 1 ; 0 ; 0
"Fête Nationale" ; 					14/07 ; 1 ; 0 ; 0
"N.-D. Mt-Carmel" ; 				16/07 ; 1 ; 0 ; 0
"Marie-Madeleine" ; 				22/07 ; 1 ; 0 ; 0
"Ignace de Loyola" ; 				31/07 ; 1 ; 0 ; 0
"Julien-Eymard" ; 					02/08 ; 1 ; 0 ; 0
"J.-M. Vianney" ; 					04/08 ; 1 ; 0 ; 0
"Transfiguration" ; 				06/08 ; 1 ; 0 ; 0
"Assomption" ; 						15/08 ; 1 ; 0 ; 0
"Rose de Lima" ; 					23/08 ; 1 ; 0 ; 0
"Nativité N.-D." ; 					08/09 ; 1 ; 0 ; 0
"Croix Glorieuse" ; 				14/09 ; 1 ; 0 ; 0
"AUTOMNE" ; 						23/09 ; 1 ; 0 ; 0
"Vincent de Paul" ; 				27/09 ; 1 ; 0 ; 0
"Thérèse de l\'Enfant Jésus" ; 		01/10 ; 1 ; 0 ; 0
"François d\'Assise" ; 				04/10 ; 1 ; 0 ; 0
"Thérèse d\'Avila" ; 				15/10 ; 1 ; 0 ; 0
"Jean de Capistran" ; 				23/10 ; 1 ; 0 ; 0
"Bienvenue" ; 						30/10 ; 1 ; 0 ; 0
"La Toussaint" ; 					01/11 ; 1 ; 0 ; 0
"Défunts" ; 						02/11 ; 1 ; 0 ; 0
"L\'Armistice 1918" ; 				11/11 ; 1 ; 0 ; 0
"Présence de Marie" ; 				21/11 ; 1 ; 0 ; 0
"Catherine L." ; 					25/11 ; 1 ; 0 ; 0
"Jacques de la Marche" ; 			28/11 ; 1 ; 0 ; 0
"Immaculée Conception" ; 			08/12 ; 1 ; 0 ; 0
"Pierre Fourier" ; 					09/12 ; 1 ; 0 ; 0
"Jeanne de Chantal" ; 				12/12 ; 1 ; 0 ; 0
"HIVER" ; 							21/12 ; 1 ; 0 ; 0
"Noël" ;  							25/12 ; 1 ; 0 ; 0

// Fête du jour ne correspondant pas à des prénoms, n'apparaissant pas sur le calendrier
// 25 mars : L'Annonciation

"Prénom" ; "Date" ; "fete_principale" ; "rare"

// Liste des prénoms
"Aaron" ;			01/07 ; 0 ; 0
"Abdon" ;			xx/xx ; 0 ; 1
"Abdonie" ;			xx/xx ; 0 ; 1
"Abdonise" ;		xx/xx ; 0 ; 1
"Abel" ;			05/08 ; 1 ; 0
"Abélard" ;			05/08 ; 0 ; 1
"Abélie" ;			05/08 ; 0 ; 1
"Abeline" ;			05/08 ; 0 ; 1
"Abelle" ;			05/08 ; 0 ; 1
"Abigaëlle" ;		xx/xx ; 0 ; 1
"Abigaïl" ;			xx/xx ; 0 ; 1
"Abraham" ;			20/12 ; 0 ; 0
"Achille" ;			12/05 ; 0 ; 0
"Ada" ;				xx/xx ; 0 ; 1 ; 04/12 ?
"Adalbert" ;		xx/xx ; 0 ; 1
"Adam" ;			xx/xx ; 0 ; 0 ; 17/06 ?
"Adel" ;			xx/xx ; 0 ; 0
"Adèla" ;			24/12 ; 0 ; 1
"Adélaïde" ;		16/12 ; 0 ; 0
"Adèle" ;			24/12 ; 1 ; 0
"Adeleine" ;		24/12 ; 0 ; 1
"Adélia" ;			24/12 ; 0 ; 1
"Adélice" ;			xx/xx ; 0 ; 1
"Adélie" ;			24/12 ; 0 ; 1
"Adelin" ;			xx/xx ; 0 ; 1
"Adeline" ;			20/10 ; 1 ; 0
"Adelle" ;			24/12 ; 0 ; 1
"Adelphe" ;			11/09 ; 1 ; 0
"Adéodat" ;			xx/xx ; 0 ; 1
"Adhémar" ;			xx/xx ; 0 ; 1
"Adolphe" ;			30/06 ; 0 ; 0
"Adonis" ;			xx/xx ; 0 ; 1
"Adonise" ;			xx/xx ; 0 ; 1
"Adriana" ;			xx/xx ; 0 ; 1
"Adriane" ;			xx/xx ; 0 ; 1
"Adrien" ;			08/09 ; 0 ; 0
"Adrienne" ;		08/09 ; 0 ; 1
"Agathe" ;			05/02 ; 1 ; 0
"Agathon" ;			xx/xx ; 0 ; 1
"Agénor" ;			xx/xx ; 0 ; 1
"Aglaé" ;			14/05 ; 0 ; 1
"Aglaée" ;			14/05 ; 0 ; 1
"Agnan" ;			xx/xx ; 0 ; 1
"Agnel" ;			xx/xx ; 0 ; 1
"Agnès" ;			21/01 ; 1 ; 0
"Aignan" ;			xx/xx ; 0 ; 1
"Aimable" ;			18/10 ; 0 ; 0
"Aimé" ;			13/09 ; 1 ; 0
"Aimée" ;			20/02 ; 1 ; 0
"Alain" ;			09/09 ; 1 ; 0
"Alaine" ;			xx/xx ; 0 ; 1
"Alban" ;			22/06 ; 1 ; 0
"Albane" ;			22/06 ; 0 ; 0
"Albéric" ;			15/11 ; 0 ; 1
"Albert" ;			15/11 ; 1 ; 0
"Alberte" ;			15/11 ; 0 ; 1
"Albertine" ;		15/11 ; 0 ; 0
"Albin" ;			01/03 ; 0 ; 0
"Albine" ;		 	xx/xx ; 0 ; 1
"Alcée" ;			xx/xx ; 0 ; 1
"Alcibiade" ;		xx/xx ; 0 ; 1
"Alcide" ;			xx/xx ; 0 ; 1
"Alcidie" ;			xx/xx ; 0 ; 1
"Alcime" ;			xx/xx ; 0 ; 1
"Alcine" ;			xx/xx ; 0 ; 1
"Alcyone" ;			xx/xx ; 0 ; 1
"Aldebert" ;		xx/xx ; 0 ; 1
"Aldegonde" ;		xx/xx ; 0 ; 1
"Aldéric" ;			xx/xx ; 0 ; 1
"Aldo" ;			xx/xx ; 0 ; 1
"Aldonce" ;			xx/xx ; 0 ; 1
"Aldric" ;			xx/xx ; 0 ; 1
"Aleth" ;			xx/xx ; 0 ; 1
"Alex" ;			22/04 ; 0 ; 0
"Alexandra" ;		22/04 ; 0 ; 0
"Alexandre" ;		22/04 ; 1 ; 0
"Alexandrine" ;		02/04 ; 0 ; 0
"Alexane" ;			17/02 ; 0 ; 0
"Alexiane" ;		17/02 ; 0 ; 1
"Alexine" ;			xx/xx ; 0 ; 1
"Alexis" ;			17/02 ; 1 ; 0
"Alfred" ;			15/08 ; 0 ; 0
"Alice" ;			16/12 ; 1 ; 0
"Alida" ;			26/04 ; 1 ; 0
"Aliénor" ;			25/06 ; 0 ; 0
"Aliette" ;			xx/xx ; 0 ; 1
"Aline" ;			20/10 ; 0 ; 0
"Alisson" ;			xx/xx ; 0 ; 0 ; 16/12 ?
"Alix" ;			09/01 ; 1 ; 0
"Alizée" ;			xx/xx ; 0 ; 0
"Allison" ;			xx/xx ; 0 ; 0 ; 16/12 ?
"Almire" ;			xx/xx ; 0 ; 1
"Aloïs" ;			xx/xx ; 0 ; 0 ; 25/08 ?
"Aloïse" ;			xx/xx ; 0 ; 1
"Aloys" ;			xx/xx ; 0 ; 1
"Aloyse" ;			xx/xx ; 0 ; 1
"Alphée" ;			xx/xx ; 0 ; 1
"Alphonse" ;		01/08 ; 1 ; 0
"Alphonsine" ;		xx/xx ; 0 ; 0
"Alysson" ;			xx/xx ; 0 ; 1
"Alyzée" ;			xx/xx ; 0 ; 1
"Amadis" ;			xx/xx ; 0 ; 1
"Amalric" ;			xx/xx ; 0 ; 1
"Amanda" ;			09/07 ; 0 ; 0
"Amande" ;			xx/xx ; 0 ; 1
"Amandin" ;			xx/xx ; 0 ; 1
"Amandine" ;		09/07 ; 1 ; 0
"Amant" ;			xx/xx ; 0 ; 1
"Amante" ;			xx/xx ; 0 ; 1
"Amantine" ;		xx/xx ; 0 ; 1
"Amarande" ;		xx/xx ; 0 ; 1
"Amaranthe" ;		xx/xx ; 0 ; 1
"Amaryllis" ;		xx/xx ; 0 ; 1
"Ambre" ;			07/12 ; 0 ; 0
"Ambrine" ;			07/12 ; 0 ; 0
"Ambroise" ;		07/12 ; 1 ; 0
"Ambroisine" ;		07/12 ; 0 ; 1
"Amaury" ;			15/01 ; 0 ; 1
"Amédée" ;			30/03 ; 1 ; 0
"Amele" ;			xx/xx ; 0 ; 1
"Ameliane" ;		xx/xx ; 0 ; 1
"Amélie" ;			19/09 ; 0 ; 0
"Amélien" ;			xx/xx ; 0 ; 1
"Ameline" ;			xx/xx ; 0 ; 1 ; 19/09 ?
"Améthyste" ;		xx/xx ; 0 ; 1
"Amiel" ;			xx/xx ; 0 ; 1
"Amour" ;			09/08 ; 1 ; 0
"Anaël" ;			26/07 ; 0 ; 1
"Anaëlle" ;			26/07 ; 0 ; 0
// Annaëlle, Anaïs, Aneth, Anika, Anita, Anna, Annabelle, Annaïc, Annaïck, Annaïg ou Anaïg, Anneto, Annette, Annick, Annie, Annouk, Ano, Anouchka,
"Anaïs" ;			26/07 ; 0 ; 0
"Anastase" ;		xx/xx ; 0 ; 1
"Anastasie" ;		10/03 ; 0 ; 1
"Anatole" ;			03/02 ; 0 ; 0
"Anatolie" ;		xx/xx ; 0 ; 1
"Anatoline" ;		xx/xx ; 0 ; 1
"Ancelin" ;			xx/xx ; 0 ; 1
"Anceline" ;		xx/xx ; 0 ; 1
"Andéol" ;			xx/xx ; 0 ; 1
"Andoche" ;			xx/xx ; 0 ; 1
"André" ;			30/11 ; 1 ; 0
"Andrée" ;			30/11 ; 0 ; 0
"Andrew" ;			30/11 ; 0 ; 0
"Anémone" ;			05/10 ; 0 ; 1
"Ange" ;			05/05 ; 0 ; 0
"Angèle" ;			27/01 ; 1 ; 0
"Angela" ;			27/01 ; 0 ; 0
"Angelin" ;			xx/xx ; 0 ; 1
"Angélina" ;		27/01 ; 0 ; 0
"Angeline" ;		27/01 ; 0 ; 1
"Angéline" ;		27/01 ; 0 ; 0
"Angélique" ;		27/01 ; 0 ; 0
"Anicée" ;			xx/xx ; 0 ; 1
"Anicet" ;			17/04 ; 1 ; 0
"Anicette" ;		xx/xx ; 0 ; 1
"Anna" ;			26/07 ; 0 ; 0
"Annabelle" ;		26/07 ; 0 ; 0
"Annaëlle" ;		26/07 ; 0 ; 0
"Anne" ;			26/07 ; 1 ; 0
"Annette" ;			26/07 ; 0 ; 0
"Annibal" ;			xx/xx ; 0 ; 1
"Annick" ;			26/07 ; 0 ; 1
"Annie" ;			26/07 ; 0 ; 0
"Ansbert" ;			xx/xx ; 0 ; 1
"Anselme" ;			21/04 ; 1 ; 0
"Anthelme" ;		26/06 ; 1 ; 0
"Anthelmette" ;		xx/xx ; 0 ; 1
"Anthelmine" ;		xx/xx ; 0 ; 1
"Anthime" ;			xx/xx ; 0 ; 1
"Anthony" ;			13/01 ; 0 ; 0 ; ou 17/01 ?
"Antide" ;			xx/xx ; 0 ; 1
"Antigone" ;		xx/xx ; 0 ; 1
"Antoine" ;			05/07 ; 1 ; 0
"Antoinette" ;		28/02 ; 0 ; 0
"Antonin" ;			02/05 ; 0 ; 0
"Antonine" ;		xx/xx ; 0 ; 1
"Antony" ;			13/01 ; 0 ; 0 ; ou 17/01 ?
"Aphélie" ;			xx/xx ; 0 ; 1
"Aphrodite" ;		xx/xx ; 0 ; 1
"Apollinaire" ;		12/09 ; 1 ; 0
"Apolline" ;		09/02 ; 1 ; 0
"Apollon" ;			xx/xx ; 0 ; 1
"Apollonie" ;		xx/xx ; 0 ; 1
"Arabelle" ;		xx/xx ; 0 ; 1
"Arcade" ;			xx/xx ; 0 ; 1
"Arcadie" ;			xx/xx ; 0 ; 1
"Archambaud" ;		xx/xx ; 0 ; 1
"Archange" ;		xx/xx ; 0 ; 1
"Archibald" ;		01/11 ; 0 ; 1
"Argine" ;			xx/xx ; 0 ; 1
"Arian" ;			xx/xx ; 0 ; 1
